,trading_day,component,lag_length,aic
50,287,51.0,1.0,-5.585755229940582
51,287,52.0,1.0,-5.594199892805892
52,287,53.0,2.0,-5.629014468908814
53,287,54.0,3.0,-5.640579232744413
54,287,55.0,1.0,-5.632484838955693
55,287,56.0,1.0,-5.64969795010149
56,287,57.0,1.0,-5.663314282578156
57,287,58.0,1.0,-5.6856309706049615
58,287,59.0,1.0,-5.683048100887888
59,287,60.0,1.0,-5.701853458881953
60,287,61.0,1.0,-5.719625604107319
61,287,62.0,1.0,-5.719688774312013
62,287,63.0,1.0,-5.738325636360182
63,287,64.0,1.0,-5.764571616055303
64,287,65.0,2.0,-5.759348099351995
65,287,66.0,1.0,-5.788145217525456
66,287,67.0,1.0,-5.814221013588862
67,287,68.0,4.0,-5.853596579038762
68,287,69.0,1.0,-5.82569273966651
69,287,70.0,2.0,-5.883619024349574
70,287,71.0,2.0,-5.862786012171058
71,287,72.0,1.0,-5.88795738296763
72,287,73.0,2.0,-5.885197821044531
73,287,74.0,1.0,-5.8914528614853925
74,287,75.0,1.0,-5.908914575123304
75,287,76.0,1.0,-5.91513080853986
76,287,77.0,1.0,-5.939291183548194
77,287,78.0,1.0,-5.9421426914331015
78,287,79.0,1.0,-5.951770622551721
79,287,80.0,1.0,-5.955788719111802
80,287,81.0,1.0,-5.9657925216380985
81,287,82.0,1.0,-6.01881680708752
82,287,83.0,1.0,-6.009125607633393
83,287,84.0,1.0,-6.018863548246611
84,287,85.0,3.0,-6.045919040317935
85,287,86.0,3.0,-6.096438070762062
86,287,87.0,13.0,-6.028268939417044
87,287,88.0,1.0,-6.071891654998766
88,287,89.0,3.0,-6.078461636899551
89,287,90.0,1.0,-6.089016724207178
90,287,91.0,1.0,-6.094863216598377
91,287,92.0,1.0,-6.121948286845516
92,287,93.0,1.0,-6.14750371207294
93,287,94.0,1.0,-6.1613164851755435
94,287,95.0,7.0,-6.159447700400101
95,287,96.0,1.0,-6.1670914325415485
96,287,97.0,3.0,-6.1936507980689735
97,287,98.0,2.0,-6.20141246225806
98,287,99.0,1.0,-6.200834064841145
99,287,100.0,6.0,-6.223794361565299
0,288,1.0,3.0,-1.8668876549806808
1,288,2.0,1.0,-3.1723856035694427
2,288,3.0,1.0,-3.766673358297162
3,288,4.0,1.0,-4.306356585842209
4,288,5.0,6.0,-4.391405714088798
5,288,6.0,1.0,-4.650274685229435
6,288,7.0,5.0,-4.683497163925402
7,288,8.0,2.0,-4.748026372286263
8,288,9.0,6.0,-4.810024664332416
9,288,10.0,1.0,-4.81253146246087
10,288,11.0,1.0,-4.8474959762459005
11,288,12.0,6.0,-4.884574765856084
12,288,13.0,1.0,-4.918265334385301
13,288,14.0,2.0,-4.941824637792975
14,288,15.0,1.0,-4.977205799455425
15,288,16.0,4.0,-5.0847809308594885
16,288,17.0,1.0,-5.0240312714301565
17,288,18.0,4.0,-5.04659379874684
18,288,19.0,5.0,-5.052278410392698
19,288,20.0,6.0,-5.066128865245523
20,288,21.0,1.0,-5.099191451335474
21,288,22.0,2.0,-5.097510899409453
22,288,23.0,4.0,-5.159182033628044
23,288,24.0,1.0,-5.169122150225893
24,288,25.0,1.0,-5.20652360389233
25,288,26.0,6.0,-5.208534333356755
26,288,27.0,1.0,-5.216127259168192
27,288,28.0,10.0,-5.225898889172561
28,288,29.0,1.0,-5.262196723873322
29,288,30.0,7.0,-5.307476032782691
30,288,31.0,2.0,-5.285428875978729
31,288,32.0,3.0,-5.303293602564524
32,288,33.0,2.0,-5.318586256619718
33,288,34.0,1.0,-5.326751865847908
34,288,35.0,2.0,-5.393380442385643
35,288,36.0,1.0,-5.3595093440741595
36,288,37.0,4.0,-5.385414053131113
37,288,38.0,1.0,-5.387418493993157
38,288,39.0,1.0,-5.431294329606528
39,288,40.0,1.0,-5.426371342818338
40,288,41.0,11.0,-5.407787446297079
41,288,42.0,1.0,-5.4381138553886705
42,288,43.0,2.0,-5.474839849599523
43,288,44.0,2.0,-5.484604095873559
44,288,45.0,1.0,-5.506060652024087
45,288,46.0,1.0,-5.513371610505029
46,288,47.0,1.0,-5.531938119093326
47,288,48.0,2.0,-5.545020979536236
48,288,49.0,1.0,-5.554889941392702
49,288,50.0,1.0,-5.5719020034075
50,288,51.0,1.0,-5.5813294807248806
51,288,52.0,2.0,-5.613060315046286
52,288,53.0,2.0,-5.599366524628349
53,288,54.0,2.0,-5.629934357355201
54,288,55.0,1.0,-5.6294447445632825
55,288,56.0,1.0,-5.649513482658112
56,288,57.0,1.0,-5.650932029620985
57,288,58.0,2.0,-5.676875475754196
58,288,59.0,1.0,-5.688932827343602
59,288,60.0,1.0,-5.693870042726742
60,288,61.0,1.0,-5.70957253267471
61,288,62.0,1.0,-5.743428129844464
62,288,63.0,8.0,-5.782362337285178
63,288,64.0,1.0,-5.746924071984382
64,288,65.0,1.0,-5.760451315248291
65,288,66.0,1.0,-5.792326408882587
66,288,67.0,1.0,-5.8259927623396
67,288,68.0,5.0,-5.824604361391546
68,288,69.0,1.0,-5.853616234281681
69,288,70.0,2.0,-5.88653898036486
70,288,71.0,1.0,-5.845705991841649
71,288,72.0,1.0,-5.902795284217283
72,288,73.0,2.0,-5.887432960232228
73,288,74.0,3.0,-5.881443239046272
74,288,75.0,2.0,-5.894907135607408
75,288,76.0,1.0,-5.944072806973421
76,288,77.0,4.0,-5.921223630409429
77,288,78.0,3.0,-5.9321581176365985
78,288,79.0,1.0,-5.959025479475172
79,288,80.0,1.0,-5.952136236266026
80,288,81.0,1.0,-5.968083798337434
81,288,82.0,1.0,-5.999372993846751
82,288,83.0,3.0,-6.028550150753839
83,288,84.0,1.0,-6.0140577373085975
84,288,85.0,2.0,-6.038274199202042
85,288,86.0,3.0,-6.070603953195083
86,288,87.0,7.0,-6.074759255369094
87,288,88.0,1.0,-6.06794242337054
88,288,89.0,3.0,-6.075871970115825
89,288,90.0,1.0,-6.098028720220977
90,288,91.0,1.0,-6.0945602732828785
91,288,92.0,1.0,-6.117662346090716
92,288,93.0,1.0,-6.129970431192688
93,288,94.0,1.0,-6.147270804299822
94,288,95.0,1.0,-6.156372564759181
95,288,96.0,1.0,-6.167418155608472
96,288,97.0,3.0,-6.192553600320569
97,288,98.0,1.0,-6.1981592437999184
98,288,99.0,1.0,-6.200015446586246
99,288,100.0,3.0,-6.204480080233369
0,289,1.0,3.0,-1.8683166905933686
1,289,2.0,1.0,-3.172326840463604
2,289,3.0,1.0,-3.765945195420434
3,289,4.0,1.0,-4.3054945968685745
4,289,5.0,6.0,-4.391398542923271
5,289,6.0,1.0,-4.643064620581367
6,289,7.0,5.0,-4.678704152932149
7,289,8.0,2.0,-4.745251575164452
8,289,9.0,13.0,-4.786776140252577
9,289,10.0,1.0,-4.81629814925951
10,289,11.0,1.0,-4.846575849306579
11,289,12.0,6.0,-4.881818028977001
12,289,13.0,1.0,-4.917716046883043
13,289,14.0,2.0,-4.941737435530086
14,289,15.0,3.0,-4.963045318678578
15,289,16.0,4.0,-5.0818779301906325
16,289,17.0,1.0,-5.018135789994267
17,289,18.0,1.0,-5.0251756323754435
18,289,19.0,2.0,-5.05356583421228
19,289,20.0,6.0,-5.071176108971688
20,289,21.0,1.0,-5.099935024166646
21,289,22.0,3.0,-5.095725347217924
22,289,23.0,4.0,-5.172019834644196
23,289,24.0,1.0,-5.170594705900161
24,289,25.0,1.0,-5.198039492736022
25,289,26.0,1.0,-5.201348598572905
26,289,27.0,1.0,-5.214160408654806
27,289,28.0,10.0,-5.225170192333728
28,289,29.0,1.0,-5.261899424468711
29,289,30.0,7.0,-5.27025143318145
30,289,31.0,2.0,-5.2840494030860246
31,289,32.0,1.0,-5.305889081616408
32,289,33.0,2.0,-5.319106861414537
33,289,34.0,1.0,-5.326475695201
34,289,35.0,2.0,-5.362020784790991
35,289,36.0,1.0,-5.367447190638661
36,289,37.0,4.0,-5.37721921714302
37,289,38.0,1.0,-5.392021352096429
38,289,39.0,1.0,-5.416567166543257
39,289,40.0,1.0,-5.427908060700329
40,289,41.0,1.0,-5.43174025602617
41,289,42.0,1.0,-5.440823693972136
42,289,43.0,3.0,-5.481015169560754
43,289,44.0,2.0,-5.4836963154864575
44,289,45.0,2.0,-5.498734295993139
45,289,46.0,1.0,-5.513020114407908
46,289,47.0,1.0,-5.526723002716211
47,289,48.0,2.0,-5.555037029283206
48,289,49.0,1.0,-5.554838016869947
49,289,50.0,1.0,-5.5658407640796
50,289,51.0,1.0,-5.581169163833982
51,289,52.0,1.0,-5.600863065268572
52,289,53.0,1.0,-5.60940333085316
53,289,54.0,2.0,-5.625238665820659
54,289,55.0,1.0,-5.630488354982536
55,289,56.0,3.0,-5.651362920416525
56,289,57.0,1.0,-5.648417880254802
57,289,58.0,2.0,-5.657505403926834
58,289,59.0,1.0,-5.681679365580394
59,289,60.0,1.0,-5.689001794948409
60,289,61.0,6.0,-5.701891860568329
61,289,62.0,1.0,-5.7100235894273785
62,289,63.0,8.0,-5.768569187338221
63,289,64.0,1.0,-5.746295252948092
64,289,65.0,1.0,-5.760609919826556
65,289,66.0,1.0,-5.794250866522981
66,289,67.0,11.0,-5.820324529768301
67,289,68.0,1.0,-5.817236161943801
68,289,69.0,3.0,-5.83614031529688
69,289,70.0,2.0,-5.839148734118094
70,289,71.0,1.0,-5.860147830319479
71,289,72.0,1.0,-5.87275525901832
72,289,73.0,1.0,-5.874607027319662
73,289,74.0,1.0,-5.878625990597181
74,289,75.0,4.0,-5.9043824023673235
75,289,76.0,6.0,-5.917325006620517
76,289,77.0,1.0,-5.927692893965036
77,289,78.0,1.0,-5.928321492728344
78,289,79.0,2.0,-5.952556415065685
79,289,80.0,1.0,-5.965795829174503
