,trading_day,component,lag_length,aic
13,271,14.0,4.0,-2.618162209785611
14,271,15.0,8.0,-2.6283115603805447
15,271,16.0,1.0,-2.651732922135769
16,271,17.0,1.0,-2.6600863855011956
17,271,18.0,4.0,-2.7019855675964872
18,271,19.0,2.0,-2.755749471947727
19,271,20.0,11.0,-2.74360741983158
20,271,21.0,7.0,-2.7895557560329944
21,271,22.0,1.0,-2.859640815844731
22,271,23.0,14.0,-2.9331606917760262
23,271,24.0,2.0,-2.89728472092384
24,271,25.0,10.0,-2.9150146124001886
25,271,26.0,1.0,-2.914731600163137
26,271,27.0,1.0,-2.9318885946919595
27,271,28.0,1.0,-2.935623525878863
28,271,29.0,7.0,-3.0488737086971454
29,271,30.0,13.0,-2.950828293271549
30,271,31.0,5.0,-2.972977299102565
31,271,32.0,1.0,-2.9906483628430185
32,271,33.0,3.0,-3.049802693826995
33,271,34.0,8.0,-3.0793477523098813
34,271,35.0,1.0,-3.0729535787999196
35,271,36.0,1.0,-3.099090375065997
36,271,37.0,3.0,-3.1359032488414056
37,271,38.0,4.0,-3.12734815693633
38,271,39.0,14.0,-3.213571650427746
39,271,40.0,5.0,-3.173927734441945
40,271,41.0,3.0,-3.168275486490722
41,271,42.0,3.0,-3.198125232252815
42,271,43.0,2.0,-3.228354849291934
43,271,44.0,12.0,-3.2564406165742548
44,271,45.0,1.0,-3.2338145533961633
45,271,46.0,10.0,-3.2440789724809584
46,271,47.0,1.0,-3.259109540954225
47,271,48.0,1.0,-3.3055330155252505
48,271,49.0,5.0,-3.2907618757568002
49,271,50.0,1.0,-3.3038508279378114
50,271,51.0,3.0,-3.327288165294391
51,271,52.0,1.0,-3.3369781074282105
52,271,53.0,1.0,-3.371559517459615
53,271,54.0,1.0,-3.3810509755006266
54,271,55.0,2.0,-3.412344515199308
55,271,56.0,4.0,-3.412751642594549
56,271,57.0,1.0,-3.4283452246933344
57,271,58.0,1.0,-3.424971666414686
58,271,59.0,1.0,-3.472362087509661
59,271,60.0,14.0,-3.447143253931665
60,271,61.0,1.0,-3.4826236042679306
61,271,62.0,1.0,-3.4925490046524685
62,271,63.0,1.0,-3.5198817332404935
63,271,64.0,1.0,-3.526383244800383
64,271,65.0,1.0,-3.538821870009515
65,271,66.0,1.0,-3.5656193894045622
66,271,67.0,1.0,-3.5719472796225555
67,271,68.0,5.0,-3.611286943897759
68,271,69.0,2.0,-3.59596293701479
69,271,70.0,4.0,-3.6101583414956355
70,271,71.0,1.0,-3.6240231047739546
71,271,72.0,4.0,-3.6695367660318725
72,271,73.0,1.0,-3.670887084985943
73,271,74.0,1.0,-3.6682148094557276
74,271,75.0,1.0,-3.681020022187997
75,271,76.0,1.0,-3.7005479485945023
76,271,77.0,1.0,-3.710369116283855
77,271,78.0,2.0,-3.730463466428566
78,271,79.0,1.0,-3.732025664994477
79,271,80.0,1.0,-3.749434532926651
80,271,81.0,1.0,-3.759144285970428
81,271,82.0,3.0,-3.799348343843329
82,271,83.0,4.0,-3.7703249709485696
83,271,84.0,2.0,-3.8052039135474214
84,271,85.0,3.0,-3.7990175781245714
85,271,86.0,14.0,-3.807055358670459
86,271,87.0,6.0,-3.8135922180251365
87,271,88.0,2.0,-3.863485249411164
88,271,89.0,1.0,-3.867137102615497
89,271,90.0,2.0,-3.88192036177933
90,271,91.0,1.0,-3.9034697043117155
91,271,92.0,1.0,-3.9150113702557956
92,271,93.0,1.0,-3.920981579240794
93,271,94.0,4.0,-3.9609607120923562
94,271,95.0,1.0,-3.9485763632925153
95,271,96.0,1.0,-3.94854478248064
96,271,97.0,1.0,-3.9808954195088244
97,271,98.0,1.0,-3.989827477271443
98,271,99.0,1.0,-3.9815289671685665
99,271,100.0,1.0,-3.9944794637227545
