,trading_day,component,lag_length,aic
89,286,90.0,1.0,-0.43002393569315106
90,286,91.0,2.0,-0.4301390978466374
91,286,92.0,1.0,-0.4767093620897134
92,286,93.0,1.0,-0.3839390381084926
93,286,94.0,1.0,-0.5211831666497347
94,286,95.0,1.0,-0.4715284116320373
95,286,96.0,1.0,-0.48978392757574873
96,286,97.0,1.0,-0.3860274006311576
97,286,98.0,1.0,-0.38270871716903204
98,286,99.0,1.0,-0.5381730069728802
99,286,100.0,1.0,-0.3195272873041548
0,287,1.0,1.0,-0.5757799729501638
1,287,2.0,4.0,-0.5484580698392182
2,287,3.0,1.0,-0.46374062864083726
3,287,4.0,1.0,-0.4855019418266896
4,287,5.0,1.0,-0.4630851875498882
5,287,6.0,1.0,-0.4975103452453472
6,287,7.0,3.0,-0.46123516508708423
7,287,8.0,1.0,-0.5723058829641599
8,287,9.0,4.0,-0.4873153698435841
9,287,10.0,6.0,-0.540044510965543
10,287,11.0,5.0,-0.46185404286714604
11,287,12.0,1.0,-0.5341018049977643
12,287,13.0,9.0,-0.5015403593107186
13,287,14.0,1.0,-0.4761183186460999
14,287,15.0,1.0,-0.457454537102356
15,287,16.0,1.0,-0.558732782145338
16,287,17.0,1.0,-0.42618053775475306
17,287,18.0,1.0,-0.4731097116272796
18,287,19.0,5.0,-0.5209031581716561
19,287,20.0,2.0,-0.4771490888015194
20,287,21.0,1.0,-0.535213724159999
21,287,22.0,1.0,-0.5476556812191854
22,287,23.0,1.0,-0.3713037509887617
23,287,24.0,1.0,-0.42365376445523933
24,287,25.0,1.0,-0.440420003270574
25,287,26.0,1.0,-0.5346939533867571
26,287,27.0,1.0,-0.6067151926011621
27,287,28.0,1.0,-0.48124020908942866
28,287,29.0,5.0,-0.4752187446937616
29,287,30.0,1.0,-0.4994467535973618
30,287,31.0,1.0,-0.4810300283193406
31,287,32.0,2.0,-0.47260101252393294
32,287,33.0,1.0,-0.4571360767533195
33,287,34.0,2.0,-0.5318987333829336
34,287,35.0,4.0,-0.4953708448503102
35,287,36.0,1.0,-0.5510742665427469
36,287,37.0,1.0,-0.3137461932836265
37,287,38.0,1.0,-0.41643090527154103
38,287,39.0,1.0,-0.3945969905274902
39,287,40.0,2.0,-0.5068119045719011
40,287,41.0,6.0,-0.397000045554677
41,287,42.0,1.0,-0.3643392763686069
42,287,43.0,1.0,-0.37876014939849256
43,287,44.0,7.0,-0.5388070595951732
44,287,45.0,1.0,-0.5032563482781941
45,287,46.0,3.0,-0.4723769274194785
46,287,47.0,1.0,-0.41029706629997725
47,287,48.0,1.0,-0.44155903969145616
48,287,49.0,1.0,-0.4646595764476532
49,287,50.0,2.0,-0.5160984971231442
50,287,51.0,3.0,-0.35684687029734485
51,287,52.0,1.0,-0.4835912778962492
52,287,53.0,1.0,-0.47968411764026586
53,287,54.0,1.0,-0.43001087867253013
54,287,55.0,2.0,-0.4611115340819192
55,287,56.0,1.0,-0.4215096947422039
56,287,57.0,1.0,-0.45059780936877475
57,287,58.0,1.0,-0.404248593573569
58,287,59.0,1.0,-0.524509021758276
59,287,60.0,1.0,-0.3069424963871361
60,287,61.0,1.0,-0.47806742766239974
61,287,62.0,1.0,-0.5115127335473623
62,287,63.0,1.0,-0.403677002599033
63,287,64.0,8.0,-0.41174390886686507
64,287,65.0,1.0,-0.5274940580621663
65,287,66.0,1.0,-0.6466330950504781
66,287,67.0,1.0,-0.4233287479401389
67,287,68.0,5.0,-0.4935102147157002
68,287,69.0,1.0,-0.5406109238712652
69,287,70.0,1.0,-0.5273757525215405
