,trading_day,component,lag_length,aic
37,269,38.0,1.0,-7.070943811161616
38,269,39.0,1.0,-7.107866258476841
39,269,40.0,1.0,-7.13156768321297
40,269,41.0,1.0,-7.1489552972519315
41,269,42.0,8.0,-7.199211031178247
42,269,43.0,1.0,-7.152623933186832
43,269,44.0,1.0,-7.180335804468363
44,269,45.0,1.0,-7.200271628586481
45,269,46.0,1.0,-7.231839426956171
46,269,47.0,1.0,-7.262166862189752
47,269,48.0,6.0,-7.269653607467975
48,269,49.0,1.0,-7.26726821348458
49,269,50.0,2.0,-7.293741047370297
50,269,51.0,1.0,-7.294968496821096
51,269,52.0,4.0,-7.295908837397606
52,269,53.0,1.0,-7.301025231070349
53,269,54.0,1.0,-7.368071618160077
54,269,55.0,2.0,-7.365697651452962
55,269,56.0,1.0,-7.435307961562811
56,269,57.0,1.0,-7.380225576912467
57,269,58.0,1.0,-7.39552192290546
58,269,59.0,4.0,-7.420505139473687
59,269,60.0,1.0,-7.4130610749044
60,269,61.0,1.0,-7.4418540060013205
61,269,62.0,1.0,-7.456030255881184
62,269,63.0,1.0,-7.473988886907175
63,269,64.0,1.0,-7.514295058883005
64,269,65.0,1.0,-7.482464420457234
65,269,66.0,1.0,-7.515406393586628
66,269,67.0,1.0,-7.520039632261696
67,269,68.0,1.0,-7.5204992467005445
68,269,69.0,8.0,-7.618655458268525
69,269,70.0,1.0,-7.554198100857772
70,269,71.0,1.0,-7.563900162068358
71,269,72.0,3.0,-7.571263292574578
72,269,73.0,1.0,-7.592381916576555
73,269,74.0,1.0,-7.618265320729037
74,269,75.0,1.0,-7.630078408603697
75,269,76.0,1.0,-7.628354210708234
76,269,77.0,1.0,-7.665659829969002
77,269,78.0,1.0,-7.667790309649752
78,269,79.0,1.0,-7.662334834593184
79,269,80.0,5.0,-7.7371759835501495
80,269,81.0,2.0,-7.703904581049705
81,269,82.0,1.0,-7.729232793263395
82,269,83.0,1.0,-7.721661101097028
83,269,84.0,1.0,-7.735746020437656
84,269,85.0,3.0,-7.799736577222784
85,269,86.0,1.0,-7.7536081032025805
86,269,87.0,1.0,-7.788974676197936
87,269,88.0,1.0,-7.797668185370909
88,269,89.0,1.0,-7.802925005388744
89,269,90.0,1.0,-7.827470584286733
90,269,91.0,2.0,-7.85248617283391
91,269,92.0,1.0,-7.843919884604681
